epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.3630872368812561,0.0010000000474974513,1.4660264253616333,0.4557640850543976,1.0666496753692627
1,0.3835570514202118,0.0010000000474974513,1.2608038187026978,0.46916890144348145,1.0702342987060547
2,0.39060401916503906,0.0010000000474974513,1.1933047771453857,0.4504021406173706,1.06525456905365
3,0.4218120872974396,0.0010000000474974513,1.13614821434021,0.45442360639572144,1.0529104471206665
4,0.4385906159877777,0.0010000000474974513,1.1056241989135742,0.45442360639572144,1.0490432977676392
5,0.43959730863571167,0.0010000000474974513,1.0985876321792603,0.4611259996891022,1.0450764894485474
6,0.43825504183769226,0.0010000000474974513,1.0836002826690674,0.4678284227848053,1.041020393371582
7,0.44731542468070984,0.0010000000474974513,1.0641868114471436,0.4611259996891022,1.0386018753051758
8,0.4657718241214752,0.0010000000474974513,1.044221043586731,0.47587132453918457,1.0356156826019287
9,0.46711409091949463,0.0010000000474974513,1.0501811504364014,0.4745308458805084,1.0338451862335205
10,0.4694630801677704,0.0009600000339560211,1.045737624168396,0.479892760515213,1.0336980819702148
11,0.47449663281440735,0.0009600000339560211,1.0369939804077148,0.4745308458805084,1.0403633117675781
12,0.47583892941474915,0.0009600000339560211,1.0301944017410278,0.47855228185653687,1.0405277013778687
13,0.4781879186630249,0.0009600000339560211,1.0358647108078003,0.4705093801021576,1.0348550081253052
14,0.4855704605579376,0.0009600000339560211,1.0251339673995972,0.47184985876083374,1.0371131896972656
15,0.47516778111457825,0.0009600000339560211,1.0276105403900146,0.48123323917388916,1.0356849431991577
16,0.4902684688568115,0.0009600000339560211,1.0228487253189087,0.4825737178325653,1.0326930284500122
17,0.4848993420600891,0.0009600000339560211,1.016711711883545,0.479892760515213,1.036727786064148
18,0.4926174581050873,0.0009600000339560211,1.0046440362930298,0.48391419649124146,1.0414987802505493
19,0.4986577033996582,0.0009600000339560211,1.0130358934402466,0.4745308458805084,1.0400700569152832
20,0.4912751615047455,0.0009600000339560211,1.0131152868270874,0.479892760515213,1.0431678295135498
21,0.49496644735336304,0.0009216000325977802,1.01395845413208,0.47184985876083374,1.0413060188293457
22,0.5026845932006836,0.0009216000325977802,1.0025887489318848,0.4678284227848053,1.04185950756073
23,0.5040268301963806,0.0009216000325977802,0.9958258271217346,0.4705093801021576,1.0393635034561157
24,0.5057047009468079,0.0009216000325977802,0.9967892169952393,0.4705093801021576,1.0473042726516724
25,0.5083892345428467,0.0009216000325977802,0.9974945187568665,0.47184985876083374,1.0512514114379883
26,0.5137583613395691,0.0009216000325977802,0.9933388233184814,0.47184985876083374,1.0507498979568481
27,0.5063758492469788,0.0009216000325977802,0.9865418076515198,0.4678284227848053,1.053470253944397
28,0.5171141028404236,0.0009216000325977802,0.986240565776825,0.45710456371307373,1.0521821975708008
29,0.5208053588867188,0.0009216000325977802,0.9838038086891174,0.45174261927604675,1.05064857006073
30,0.5127516984939575,0.0009216000325977802,0.9868638515472412,0.4584450423717499,1.0459190607070923
31,0.5338926315307617,0.000884735956788063,0.964816153049469,0.459785521030426,1.0549051761627197
32,0.5281879305839539,0.000884735956788063,0.9836803674697876,0.4584450423717499,1.0610135793685913
33,0.5298658013343811,0.000884735956788063,0.9717527031898499,0.44906166195869446,1.0686907768249512
34,0.531879186630249,0.000884735956788063,0.9711548686027527,0.4530830979347229,1.0619752407073975
35,0.5332214832305908,0.000884735956788063,0.9717884659767151,0.445040225982666,1.0654865503311157
36,0.5288590788841248,0.000884735956788063,0.9666341543197632,0.43431636691093445,1.0627195835113525
