Model,Method,Accuracy,F1 Score (Macro),Log Loss,Precision (Weighted),Recall (Weighted),F1 Score (Weighted),Training Time (s),n_estimators,max_depth,learning_rate
XGBoost (Optuna),Bayesian Optimization,0.49782135076252726,0.45053101011656,1.0509607810216102,0.47257710245878726,0.49782135076252726,0.4745702984580146,207.70204782485962,493,5,0.04947455333172755
Baseline XGB,Fixed Hyperparameters,0.485838779956427,0.4402625259519192,1.0721102550623873,0.4595166131828714,0.485838779956427,0.46429580392231584,0.7891910076141357,200,6,0.1
Random Forest,Grid Search CV,0.46949891067538124,0.43678009390706934,1.0245943494174399,0.4518584192241484,0.46949891067538124,0.4575562407461081,328.52446842193604,100,15,
Random Forest,Optuna Hyperparameter Tuning,0.47058823529411764,0.43235287352626145,1.0134650684856772,0.44814500082392456,0.47058823529411764,0.45576368756425384,328.5523109436035,472,15,
XGBoost,Grid Search CV + 5-fold CV,0.4989106753812636,0.42703494130848746,1.003344747004064,0.4592185938398764,0.4989106753812636,0.45758864927336385,149.0393431186676,100,4,0.1
Voting Classifier (RF + XGB),Soft Voting Ensemble,0.49564270152505446,0.4263747032920981,1.0055784654022624,0.4481147765739008,0.49564270152505446,0.45764079388581314,3.9760563373565674,Ensemble,Ensemble,
Baseline RF,Fixed Hyperparameters,0.4662309368191721,0.42271996665095085,1.0204271225411314,0.4388100234353093,0.4662309368191721,0.4476023501643025,0.6176652908325195,200,15,
Stacking Classifier (RF + XGB),Stacking + Logistic Meta-learner,0.5130718954248366,0.3938265945609887,0.9935796508118372,0.37783298983766617,0.5130718954248366,0.43503071623646655,7.577800512313843,Ensemble,Ensemble,
