Model,Accuracy,Precision,Recall,F1 Score (Macro),F1 Score (Weighted),Log Loss
XGBoost,0.485838779956427,0.4595166131828714,0.485838779956427,0.4402625259519192,0.46429580392231584,1.0721102550623873
Logistic Regression,0.44989106753812635,0.4373437679165233,0.44989106753812635,0.423060032277441,0.4421648514617901,1.046677168730826
Random Forest,0.4662309368191721,0.4388100234353093,0.4662309368191721,0.42271996665095085,0.4476023501643025,1.0204271225411314
